NOME FANTASIA;CNES;CNPJ;UF;MUNICIPIO;DATA DE ATUALIZAÇÃO
LABORAX LABORATORIO DE ANALISES CLINICAS DE XAXIM;2411431;76564483000119;SC;XAXIM;30/08/2018
LABORCENTER;2338866;26646109000194;GO;GOIANIA;30/08/2018
LABORCENTER LABORATORIO DE ANALISES CLINICAS LTDA;2691078;04615307000158;SC;TAIO;30/08/2018
LABORCENTERIPUIUNA;3248933;00477383000193;MG;IPUIUNA;30/08/2018
LABORCLIM;2549433;02044018000110;PR;CRUZ MACHADO;30/08/2018
LABORCLIN;3006662;31721921000258;ES;ALEGRE;30/08/2018
LABORCLIN;5453097;31721921000177;ES;DORES DO RIO PRETO;30/08/2018
LABORCLIN;5453097;31721921000177;ES;GUACUI;30/08/2018
LABORCLIN;2805138;09108330000170;ES;BARRA DE SAO FRANCISCO;30/08/2018
LABORCLIN;2134241;00951182000186;MG;MINAS NOVAS;30/08/2018
LABORCLIN INSTITUTO CAXIENSE DE MEDICINA LABORATORIAL;3526178;07247237000110;RS;CAXIAS DO SUL;30/08/2018
LABORCLIN LABORATORIO CLINICO;3261212;02290343000163;MG;SANTA BARBARA;30/08/2018
LABORCLIN LABORATORIO DE ANALISES CLINICAS;3490815;22010987000168;MG;MURIAE;30/08/2018
LABORCLIN LABORATORIO DE ANALISES CLINICAS;2097125;56359003000170;SP;SAO JOSE DO RIO PRETO;30/08/2018
LABORCLIN LABORATORIO DE ANALISES CLINICAS REGISTRO;3384284;04233134000103;SP;REGISTRO;30/08/2018
LABORCLINICA;2759985;21223417000193;MG;CARATINGA;30/08/2018
LABORCLINICA;6039545;01055270000162;MG;PARACATU;30/08/2018
LABORCLINICA;7834543;04693029000157;SP;ALTINOPOLIS;30/08/2018
LABORCLINICO;2139995;00791620000196;MG;TRES PONTAS;30/08/2018
LABORCLINICO LAB AN CLINICA LTDA;2379392;83454884000181;SC;RIO DO SUL;30/08/2018
LABORCOL COLINAS;2772892;38149787000120;TO;COLINAS DO TOCANTINS;30/08/2018
LABORCONTROL;7424086;11074576000110;AL;IGACI;30/08/2018
LABORCONTROL;7424086;11074576000110;AL;PALMEIRA DOS INDIOS;30/08/2018
LABORDIN;2507617;03671628000107;GO;SANTA HELENA DE GOIAS;30/08/2018
LABORFAMA;2133083;20947727000198;MG;PARA DE MINAS;30/08/2018
LABORFASE PADRAO;3149390;59983973000130;SP;MAUA;30/08/2018
LABORFASE PADRAO;3350053;43326206000119;SP;SANTO ANDRE;30/08/2018
