"ORIGEM";"NOME FANTASIA";"CNES";"CNPJ";"UF";"MUNICIPIO";"DATA DE ATUALIZACAO";"OBSERVACAO"
"HOSPITAIS";"INSTITUTO ORTOPEDICO DE GOIANIA IOG";"=""2338149""";"=""01570589000126""";"GO";"GOIANIA";"";""
"HOSPITAIS";"IRMANDADE DA SANTA CASA DE MISERICORDIA DE CATAGUASES";"=""2098911""";"=""19529478000131""";"MG";"CATAGUASES";"";""
"HOSPITAIS";"MATERCLIN";"=""2701626""";"=""32972408000111""";"MT";"RONDONOPOLIS";"";""
"HOSPITAIS";"MATERNIDADE CURITIBA";"=""3000877""";"=""75105510000122""";"PR";"CURITIBA";"";""
"HOSPITAIS";"MATERNIDADE DO POVO MATRIZ";"=""2332930""";"=""04933933000192""";"PA";"BELEM";"";""
"HOSPITAIS";"MATERNIDADE E HOSPITAL OCTAVIANO NEVES";"=""0027871""";"=""17272568000164""";"MG";"BELO HORIZONTE";"";""
"HOSPITAIS";"MATERNIDADE FEMINA";"=""5363659""";"=""00053629000108""";"GO";"GOIANIA";"";""
"HOSPITAIS";"MATERNIDADE MODELO";"=""2519356""";"=""01550771000115""";"GO";"GOIANIA";"";""
"HOSPITAIS";"MATERNIDADE SANTA FE";"=""0027494""";"=""17267634000108""";"MG";"BELO HORIZONTE";"";""
"HOSPITAIS";"MATERNIDADE SANTA PAULA LTDA";"=""3530159""";"=""27330885000143""";"ES";"VITORIA";"";""
"HOSPITAIS";"MATERNIDADE SAO FRANCISCO";"=""3022080""";"=""00247125000200""";"RJ";"NITEROI";"";""
