Nome_Fantasia;Cnes;Cnpj;UF;Municipio
CENTRO HOSPITALAR ALBERT SABIN SA;3021289;9866294000103;PE;RECIFE
CENTRO MATERNO INFANTIL REGINA PACIS PORTO VELHO;2743590;14659791000170;RO;PORTO VELHO
CENTRO MEDICO;2308983;6265912000171;MA;SAO LUIS
CENTRO MEDICO HOSPITALAR DE VILA VELHA S A;5417139;410817000138;ES;VILA VELHA
CENTRO PEDIATRICO DA LAGOA;3008568;28602407000108;RJ;RIO DE JANEIRO
CLIMES CLINICA MEDICA;3085384;40320103000153;RJ;RIO DE JANEIRO
CLINICA BOM VIVER;5289548;536674000105;BA;SALVADOR
CLINICA DO CALCULO;3312844;26719088000190;GO;GOIANIA
CLINICA LOS ANGELES;3117626;2541094000131;PR;CURITIBA
CLINICA OBSTETRICA SANTA MARIA MADALENA;3006131;30869986000100;RJ;RIO DE JANEIRO
CLINICA OSTEO;3196712;81273377000116;PR;CASCAVEL
CLINICA PROFESSOR PAULO GUEDES LTDA;2223589;88667167000151;RS;CAXIAS DO SUL
CLINICA SANTA HELENA;3499502;95837506000166;SC;FLORIANOPOLIS
CLINICA SANTA MONICA;2589532;1569060000192;GO;APARECIDA DE GOIANIA
CLINICA SAO CAMILO;2371324;15505738000188;MS;DOURADOS
CLINICAS MASTERPLASTICA MONTE SINAI;2515598;7230181000191;RO;ARIQUEMES
CLIPEL;5852870;1000311000113;RJ;CABO FRIO
CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO PARANA;15423;7404052000172;PR;CURITIBA
CSPM CASA DE SAUDE PINHEIRO MACHADO;3003450;35753862000170;RJ;RIO DE JANEIRO
DOMINGOS LOURENCO HOSPITAL E MATERNIDADE;5073898;8026117000156;RJ;NILOPOLIS
FBC;3813436;16475154000250;BA;SALVADOR
FEMINA HOSPITAL INFANTIL E MATERNIDADE;2494523;14920631000133;MT;CUIABA
FUNDACAO HOSPITAL MATERNIDADE SAO CAMILO;2770326;27108380000139;ES;ARACRUZ
FUNDACAO NAPOLEAO LAUREANO;2399741;9112236000194;PB;JOAO PESSOA
GASTROCLINICA;2578425;81761066000104;PR;LONDRINA
GENESIS CENTRO MEDICO HOSPITALAR;3165019;78675204000110;PR;CASCAVEL
GRUPO CEMERU SAUDE;7436734;40201642000335;RJ;ITAGUAI
HCL HOSPITAL DO CANCER DE LONDRINA;2577623;78633088000176;PR;LONDRINA
HOSP ALBERT SABIN;2082314;62996640000150;SP;SAO PAULO
HOSPITAL ADVENTISTA DE SAO PAULO;3166597;43586122000971;SP;SAO PAULO
HOSPITAL ADVENTISTA DO PENFIGO;2646773;60833910001230;MS;CAMPO GRANDE
HOSPITAL AGNUS DEI LTDA;5136385;8147477000106;BA;CATU
HOSPITAL ALBERT SABIN;3019063;17268871000193;MG;JUIZ DE FORA
HOSPITAL ALBERT SABIN ATIBAIA;2081865;4275687000129;SP;ATIBAIA
HOSPITAL ALPHA MED CARAPICUIBA;2083191;49770076000195;SP;CARAPICUIBA
HOSPITAL ANA COSTA DE SANTOS;2025760;68253731000182;SP;SANTOS
HOSPITAL ANA NERY;2255936;95422358000119;RS;SANTA CRUZ DO SUL
HOSPITAL ARAUCARIA DE LONDRINA;6074502;8271755000132;PR;LONDRINA
HOSPITAL ARNALDO GAVAZZA FILHO;2206382;26150979000178;MG;PONTE NOVA
HOSPITAL BALBINO;2271451;42297507000107;RJ;RIO DE JANEIRO
HOSPITAL BELO HORIZONTE;27979;3490958000104;MG;BELO HORIZONTE
HOSPITAL BELVEDERE;27693;25567934000130;MG;BELO HORIZONTE
HOSPITAL BENEFICIENTE SANTA LUZIA;2707969;88625686003768;RS;CAPAO DA CANOA
HOSPITAL BETHESDA;2521296;84712983000189;SC;JOINVILLE
HOSPITAL BOM JESUS;18694;80860273000145;PR;RIO NEGRO
HOSPITAL BOM JESUS;2590727;7597753000175;PR;IVAIPORA
HOSPITAL BOM SAMARITANO;2118661;22709109000135;MG;GOVERNADOR VALADARES
HOSPITAL BRUNO BORN;2252287;91162511000165;RS;LAJEADO
HOSPITAL CALIXTO MIDLEJ FILHO;2772280;14349740000142;BA;ITABUNA
HOSPITAL CARLOS CHAGAS;6663834;10623179000197;RO;ARIQUEMES
HOSPITAL CASA EGAS MONIZ;5510341;33496134000102;RJ;RIO DE JANEIRO
HOSPITAL CEDRO;2378809;86204799000153;SC;SAO JOSE DO CEDRO
HOSPITAL CESAR LEITE;2173166;22263081000155;MG;MANHUACU
